"Table 2b: Publicly available electric vehicle rapid charging or above devices by local authority per 100,000 population, from October 2019 [Note 1, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24
(50kW and above) [Note 14]","Jan-25
(50kW and above)",Apr-25 (50kW and above),Jul-25 (50kW and above),Oct-25 (50kW and above),Jan-26 (50kW and above)  [Note 16],Apr-26 (50kW and above),,,,,
E06000004,Stockton-on-Tees,4.6,4.6,5.1,5.1,6.1,6.1,6.1,6.1,6.1,6.1,6.6,7.1,7.1,9.6,12.7,12.7,12.7,17.3,18.8,18.0,20.0,21.5,21.0,24.0,24.5,19.8,19.8,,,,,
E11000007,Tyne and Wear (Metropolitan County),4.0,4.5,5.0,5.1,6.9,7.4,7.7,8.4,8.6,8.6,9.5,10.7,9.8,10.1,12.9,13.3,12.4,15.3,16.9,18.0,19.8,19.2,20.3,21.9,23.0,24.6,28.2,,,,,
E08000037,Gateshead,5.9,6.4,6.9,7.4,8.9,9.4,8.9,9.4,10.4,8.9,11.9,13.4,11.4,11.7,21.9,24.0,24.5,34.2,37.2,38.4,40.5,37.9,40.5,47.0,51.1,52.8,55.2,,,,,
E08000021,Newcastle upon Tyne,1.3,1.7,2.0,2.0,5.9,5.9,6.6,8.1,8.1,8.5,8.8,9.8,9.1,10.1,10.7,10.7,9.7,11.7,13.1,15.6,16.3,14.0,15.0,16.9,14.6,17.2,20.0,,,,,
E08000022,North Tyneside,1.0,1.9,3.4,3.4,6.3,7.2,7.2,6.7,7.2,8.6,8.6,11.5,9.6,9.1,9.1,9.6,8.6,11.5,12.4,12.4,13.8,10.5,10.9,10.5,13.3,16.3,19.5,,,,,
E08000023,South Tyneside,5.3,5.3,5.3,5.3,5.3,6.0,6.0,7.3,7.3,7.3,9.3,9.3,9.3,7.4,7.4,7.4,4.1,3.4,5.4,4.7,6.7,8.1,8.1,7.4,7.4,7.3,7.3,,,,,
E08000024,Sunderland,6.8,7.6,7.9,7.9,7.9,8.6,9.4,9.7,9.7,9.4,9.4,10.1,9.7,11.3,14.6,14.6,14.2,15.0,16.0,17.7,20.6,24.2,25.6,26.0,28.1,28.4,35.7,,,,,
E12000002,North West,3.1,3.5,3.9,4.0,4.3,4.4,4.7,5.0,5.3,5.6,5.9,6.7,7.5,8.3,9.0,9.9,10.8,13.2,15.7,17.2,18.9,20.1,21.6,24.3,26.0,26.4,27.5,,,,,
E06000008,Blackburn with Darwen,1.3,1.3,1.3,1.3,4.7,4.7,4.7,4.7,4.7,4.7,5.3,6.7,10.0,7.7,10.3,10.3,10.3,10.3,14.2,12.8,13.5,15.4,15.4,15.4,19.3,19.7,18.5,,,,,
E06000009,Blackpool,0.0,0.7,0.7,0.7,1.4,1.4,1.4,1.4,1.4,0.7,0.7,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.1,2.1,6.4,12.7,12.7,12.7,15.5,15.3,19.4,,,,,
E06000049,Cheshire East,5.8,6.0,6.0,6.2,6.5,6.8,7.0,7.8,8.5,8.5,9.1,8.5,9.3,10.0,12.2,12.5,12.7,13.5,15.7,14.5,14.0,20.7,21.4,25.6,27.3,27.1,25.6,,,,,
E06000050,Cheshire West and Chester,1.8,1.8,2.3,2.3,2.9,3.2,3.5,4.7,4.7,5.5,6.1,6.1,6.7,7.0,7.5,8.1,7.8,11.2,12.6,12.4,12.4,14.9,16.3,17.1,17.7,15.1,18.8,,,,,
E06000063,Cumberland (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],8.0,12.4,17.5,28.9,29.4,42.5,36.3,38.5,39.9,38.9,37.8,38.1,,,,,
E06000006,Halton,0.0,0.0,0.8,1.5,1.5,1.5,1.5,3.9,3.9,3.9,3.9,3.9,3.9,3.1,4.7,5.4,5.4,6.2,6.2,7.0,6.2,5.4,5.4,6.2,6.2,4.6,4.6,,,,,
E06000007,Warrington,8.1,8.1,8.6,8.6,8.6,8.6,8.6,9.1,9.1,9.1,9.1,8.1,12.9,12.8,13.7,14.7,15.1,14.2,15.6,15.6,16.1,16.1,19.4,23.2,32.1,40.4,42.2,,,,,
E06000064,Westmorland and Furness (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],28.2,28.6,30.4,34.8,34.3,33.8,36.0,36.9,43.9,45.3,50.8,51.3,,,,,
E10000006,Cumbria (abolished April 2023),9.0,10.8,11.6,11.8,12.2,12.2,12.4,12.4,12.4,12.4,12.8,14.4,14.8,14.8,15.6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000026,Allerdale (abolished April 2023),6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,8.2,8.3,8.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000027,Barrow-in-Furness (abolished April 2023),0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000028,Carlisle (abolished April 2023),4.6,4.6,6.5,6.4,6.4,6.4,6.4,6.5,5.5,6.5,6.5,6.5,6.5,6.3,5.4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000029,Copeland (abolished April 2023),1.5,1.5,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000030,Eden (abolished April 2023),32.1,34.0,35.9,37.6,41.3,41.3,41.3,40.9,42.8,40.9,40.9,40.9,40.9,40.0,40.0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000031,South Lakeland (abolished April 2023),15.3,23.0,23.0,22.8,22.8,22.8,22.8,22.9,22.9,22.9,24.8,32.4,32.4,32.5,36.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E11000001,Greater Manchester (Metropolitan County),1.6,1.7,2.1,2.2,2.2,2.4,2.7,3.0,3.5,3.8,4.0,5.3,5.9,7.4,7.6,9.2,9.9,14.0,16.2,19.4,20.3,20.5,21.9,24.9,26.4,26.8,28.7,,,,,
E08000001,Bolton,0.7,1.1,1.1,1.0,1.0,1.0,1.0,2.1,2.1,2.1,2.8,2.8,2.8,3.4,2.7,3.7,7.1,7.4,11.1,9.4,12.4,10.7,19.4,20.7,23.8,18.7,21.6,,,,,
E08000002,Bury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,2.6,4.2,5.7,5.2,4.6,5.7,13.4,15.5,17.5,14.4,15.4,14.9,14.9,18.5,16.1,18.1,,,,,
E08000003,Manchester,2.6,2.4,2.4,2.5,1.8,1.8,2.4,2.7,2.7,3.1,3.4,4.5,4.5,8.7,8.4,11.3,10.9,12.7,13.5,14.8,13.2,14.4,15.1,20.7,22.9,20.9,21.0,,,,,
E08000004,Oldham,0.0,0.4,1.3,1.3,1.7,1.7,1.7,2.5,2.5,2.9,3.8,4.2,4.2,5.0,6.6,9.9,10.3,12.4,23.5,25.0,25.0,28.3,28.3,28.3,27.1,26.2,26.2,,,,,
E08000005,Rochdale,3.2,2.7,3.6,3.6,3.6,3.6,3.6,2.2,4.5,4.5,4.5,4.5,4.5,4.9,4.5,7.1,10.7,13.8,13.4,18.1,20.3,27.3,31.7,25.6,29.5,38.2,39.1,,,,,
E08000006,Salford,3.5,3.5,4.3,4.2,3.9,5.0,5.0,4.9,4.9,4.9,4.9,6.9,8.0,7.8,8.5,8.9,9.6,8.9,11.8,12.6,10.1,11.5,11.1,10.8,9.7,11.6,11.9,,,,,
E08000007,Stockport,1.0,2.4,3.1,3.1,4.8,5.1,5.5,5.4,5.4,5.4,5.4,6.1,7.1,8.5,9.1,11.9,11.5,11.5,17.3,24.6,37.0,34.3,35.3,38.4,43.1,47.7,52.0,,,,,
E08000008,Tameside,1.8,1.8,1.8,2.2,1.8,2.2,2.6,4.0,4.0,4.0,4.0,4.4,7.0,7.4,7.8,7.8,7.8,8.2,8.2,11.2,9.9,10.7,11.6,14.2,13.3,20.0,26.7,,,,,
E08000009,Trafford,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,4.2,4.6,4.6,12.2,13.5,16.1,16.6,20.0,20.4,50.9,46.7,53.7,54.6,47.4,48.2,61.4,61.4,61.0,62.6,,,,,
E08000010,Wigan,1.2,1.2,1.8,2.1,2.4,2.7,3.3,3.9,3.9,4.5,4.5,5.1,4.8,5.5,6.4,5.8,5.5,7.9,9.1,16.8,15.9,15.0,14.4,19.8,20.1,18.6,20.3,,,,,
E10000017,Lancashire,5.9,6.6,7.4,7.7,7.8,8.0,8.8,9.0,8.8,9.3,9.7,10.7,11.7,12.5,12.9,13.4,15.7,17.5,20.3,22.3,26.8,28.9,31.2,32.6,34.4,33.4,34.1,,,,,
E07000117,Burnley,1.1,1.1,2.3,3.4,3.4,3.4,3.4,3.4,3.4,5.6,9.0,11.2,11.2,11.6,11.6,13.7,14.8,17.9,19.0,18.8,19.9,22.0,22.0,23.0,27.2,24.2,18.1,,,,,
E07000118,Chorley,17.1,17.1,17.1,16.9,16.9,16.9,16.9,17.7,17.7,18.5,19.3,21.0,21.0,21.2,21.2,28.8,39.9,43.2,50.0,50.6,59.9,72.5,69.1,73.3,74.2,60.4,59.6,,,,,
E07000119,Fylde,1.3,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,7.4,12.3,12.2,12.2,12.2,12.2,12.2,12.2,25.3,26.5,27.7,53.0,47.0,47.0,43.3,49.2,,,,,
E07000120,Hyndburn,3.7,3.7,6.2,6.2,7.4,7.4,7.4,8.6,4.9,6.2,6.2,6.2,3.7,10.9,10.9,10.9,10.9,10.9,10.9,10.8,12.0,12.0,12.0,6.0,21.6,20.9,13.9,,,,,
E07000121,Lancaster,4.2,4.2,8.3,8.2,8.2,8.9,8.9,8.8,8.8,10.1,10.8,12.2,13.5,14.1,14.8,12.7,15.5,16.2,18.3,18.0,27.0,30.5,29.1,28.4,29.8,31.7,31.0,,,,,
E07000122,Pendle,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.3,26.0,26.0,13.5,24.1,30.1,,,,,
E07000123,Preston,5.6,7.8,7.8,9.1,9.1,9.1,9.8,9.7,10.4,10.4,10.4,10.4,9.7,10.2,11.5,10.2,9.5,10.2,15.6,21.1,25.7,20.5,24.4,28.4,27.7,25.2,25.8,,,,,
E07000124,Ribble Valley,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,6.3,6.3,6.3,6.3,6.1,6.1,,,,,
E07000125,Rossendale,0.0,1.4,1.4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,8.4,8.4,9.9,9.9,21.1,21.1,35.2,35.1,36.5,23.9,19.7,21.1,26.7,39.7,46.5,,,,,
E07000126,South Ribble,9.0,9.0,9.0,9.0,9.0,9.9,10.8,10.8,10.8,10.8,10.8,11.7,13.5,14.4,15.3,14.4,16.2,17.1,18.9,25.0,45.5,46.4,43.7,57.1,58.0,51.7,56.8,,,,,
E07000127,West Lancashire,7.9,8.8,8.8,8.7,8.7,8.7,15.7,15.7,15.7,15.7,15.7,17.5,17.5,17.9,17.9,19.6,19.6,19.6,21.3,20.9,19.3,19.3,17.6,17.6,21.8,22.1,22.1,,,,,
E07000128,Wyre,6.3,8.1,8.1,8.9,8.9,8.9,8.9,9.7,9.7,9.7,9.7,9.7,13.3,13.3,14.2,13.3,14.2,24.9,25.8,26.1,26.1,38.3,36.6,37.5,41.8,41.3,41.3,,,,,
E11000002,Merseyside (Metropolitan County),1.4,1.7,1.9,2.0,2.2,2.1,2.2,2.5,2.8,3.0,3.3,3.5,4.2,4.6,5.9,5.6,6.0,6.4,7.9,8.4,8.9,10.3,11.9,15.1,17.0,18.0,17.8,,,,,
E08000011,Knowsley,2.0,2.0,2.7,2.7,3.3,3.3,3.3,3.3,3.3,3.9,4.6,4.6,5.2,5.2,7.7,10.3,10.3,9.0,9.7,10.2,12.1,10.8,19.1,26.1,32.5,32.0,25.8,,,,,
E08000012,Liverpool,1.6,1.8,2.0,2.0,2.2,2.0,2.0,2.4,2.4,2.8,3.0,3.4,4.0,3.9,5.2,4.7,6.0,6.2,7.8,8.5,8.1,8.5,8.3,10.7,10.9,11.8,12.4,,,,,
E08000014,Sefton,1.1,1.8,1.8,1.8,1.8,1.8,2.5,2.9,3.6,3.6,4.3,4.3,5.1,6.4,7.5,7.9,7.9,7.5,8.9,8.9,10.3,14.2,17.8,16.4,20.6,21.3,21.0,,,,,
E08000013,St. Helens,1.7,2.2,2.8,3.3,3.3,3.3,3.3,3.3,2.8,2.8,2.8,1.7,3.9,5.5,8.2,6.0,6.0,6.0,10.9,12.5,12.5,13.0,13.5,26.0,27.6,23.3,24.4,,,,,
E08000015,Wirral,0.9,0.9,0.9,0.9,1.2,1.2,1.2,1.5,2.5,2.5,2.5,3.4,3.4,3.4,3.4,2.5,2.5,4.7,4.7,4.7,5.6,7.8,7.8,9.3,9.6,14.9,15.5,,,,,
E12000003,Yorkshire and the Humber,2.7,3.3,4.2,4.5,5.1,5.7,6.0,6.2,6.7,7.0,7.9,8.9,9.6,10.2,10.6,12.7,13.6,13.9,15.1,15.8,17.2,19.2,21.0,21.9,23.2,23.3,24.9,,,,,
E06000011,East Riding of Yorkshire,0.6,0.3,1.8,2.1,2.1,2.1,2.1,2.0,2.3,2.3,3.2,3.2,3.5,3.8,5.0,5.8,6.7,6.7,7.6,8.1,7.8,6.6,6.9,7.2,11.3,10.1,11.2,,,,,
E06000010,"Kingston upon Hull, City of",1.5,1.9,2.3,2.3,3.1,3.1,3.1,3.1,3.5,3.9,5.0,5.8,6.2,6.0,7.9,10.1,12.4,10.9,11.6,11.5,13.8,12.6,12.3,14.5,20.5,19.2,19.6,,,,,
E06000012,North East Lincolnshire,2.5,1.9,3.1,3.8,3.8,3.8,3.8,4.4,4.4,5.0,5.0,5.0,5.0,5.1,5.1,7.6,7.6,9.5,10.2,10.1,29.2,21.6,21.6,21.6,22.2,21.9,22.5,,,,,
E06000013,North Lincolnshire,1.2,1.2,1.7,1.7,1.2,1.7,1.7,1.7,1.7,1.7,2.3,7.5,7.5,8.2,9.4,10.0,9.4,11.2,11.8,13.5,12.9,12.3,14.7,14.7,14.7,14.6,15.8,,,,,
E06000065,North Yorkshire (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],17.8,22.0,22.6,23.1,23.3,23.1,25.5,27.6,28.1,32.7,33.8,35.1,,,,,
E06000014,York [Note 13],6.2,6.2,6.2,6.2,6.2,6.6,6.2,6.2,6.2,6.2,6.6,12.8,13.3,14.4,14.4,20.8,21.3,22.3,17.4,17.6,17.1,16.6,24.4,24.0,24.4,27.2,33.9,,,,,
E10000023,North Yorkshire (abolished April 2023),4.1,4.6,5.2,5.5,6.8,7.0,7.1,6.6,7.3,7.3,9.0,9.3,11.9,13.1,13.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000163,Craven (abolished April 2023),1.8,1.8,1.8,3.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.5,10.5,10.5,10.5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000164,Hambleton (abolished April 2023),2.2,2.2,4.4,5.5,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,14.3,15.4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000165,Harrogate (abolished April 2023),5.6,7.5,8.1,8.1,8.7,8.7,8.7,6.8,7.4,7.4,12.4,12.4,21.0,21.3,21.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000166,Richmondshire (abolished April 2023),18.8,18.8,18.8,18.6,18.6,18.6,18.6,18.6,18.6,18.6,20.5,20.5,20.5,27.8,27.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000167,Ryedale (abolished April 2023),3.6,3.6,5.5,5.4,5.4,5.4,5.4,5.4,7.2,7.2,7.2,7.2,7.2,7.3,7.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000168,Scarborough (abolished April 2023),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.8,2.8,2.8,2.8,2.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000169,Selby (abolished April 2023),0.0,0.0,0.0,0.0,0.0,1.1,2.2,2.2,4.4,4.4,4.4,4.4,6.5,6.5,6.5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E11000003,South Yorkshire (Metropolitan County),3.2,3.6,4.3,4.4,4.8,5.3,6.1,6.1,6.4,6.7,7.4,7.6,7.9,8.4,9.0,10.8,11.3,10.8,11.5,11.9,13.1,17.4,20.3,23.5,23.6,24.5,27.1,,,,,
E08000016,Barnsley,0.8,1.2,2.0,2.0,2.4,2.4,2.4,2.4,2.8,2.8,4.4,4.4,4.4,4.5,4.5,6.5,8.2,8.2,8.6,8.9,9.3,15.0,15.0,17.4,17.0,16.7,16.7,,,,,
E08000017,Doncaster,3.5,3.5,4.2,4.2,4.8,5.5,5.8,5.8,5.8,6.7,7.4,7.0,7.4,7.5,9.1,10.4,9.4,8.7,10.4,12.2,13.8,18.0,19.9,25.4,24.8,24.1,29.1,,,,,
E08000018,Rotherham,9.1,9.1,9.4,9.8,10.5,10.5,10.9,10.6,10.6,10.9,11.7,12.1,12.8,13.5,13.9,15.8,14.7,13.5,16.9,21.6,21.2,21.2,27.2,29.4,28.7,31.8,35.1,,,,,
E08000019,Sheffield,1.4,2.1,3.1,3.1,3.2,3.9,5.6,5.9,6.4,6.4,6.8,7.1,7.5,8.3,8.5,10.5,12.1,11.9,10.8,8.3,10.6,16.2,19.4,22.3,23.5,24.5,26.6,,,,,
E11000006,West Yorkshire (Metropolitan County),2.4,3.4,4.4,5.0,5.7,6.7,7.1,7.5,8.2,8.7,9.7,10.7,11.4,12.0,12.2,13.7,13.8,14.6,17.1,18.2,19.3,21.7,22.9,22.6,23.0,22.6,23.7,,,,,
E08000032,Bradford,1.9,3.9,4.7,5.2,6.1,6.9,7.0,7.7,7.9,8.1,8.7,8.9,10.0,10.1,10.6,11.0,12.1,12.4,13.7,14.8,16.5,19.2,20.4,21.4,21.2,21.6,24.0,,,,,
E08000033,Calderdale,3.3,4.3,6.2,6.1,6.1,8.5,8.0,8.0,13.7,13.7,14.7,16.6,16.6,16.4,16.4,16.4,16.4,18.4,23.2,24.1,23.6,32.7,34.2,29.4,29.9,27.0,27.0,,,,,
E08000034,Kirklees,1.4,1.4,2.1,2.0,3.4,3.9,4.1,4.5,4.8,5.4,5.9,6.3,7.7,7.4,7.4,8.3,8.1,9.9,12.2,13.0,14.4,16.0,16.0,16.7,15.8,13.8,13.8,,,,,
E08000035,Leeds,2.7,3.4,4.4,5.8,6.1,7.1,7.9,8.3,8.6,9.8,10.9,11.5,12.0,11.9,12.0,13.7,12.9,13.2,13.3,13.9,14.6,15.2,17.1,17.1,16.7,16.2,17.5,,,,,
E08000036,Wakefield,3.2,4.9,5.8,6.0,7.2,8.0,8.3,8.5,8.8,8.5,10.5,13.9,13.9,18.1,18.4,22.6,24.3,24.6,33.1,36.1,38.0,40.8,41.9,40.5,45.6,46.8,47.6,,,,,
E12000004,East Midlands,2.7,3.7,4.2,4.4,4.8,5.4,6.2,6.4,7.1,7.7,8.4,9.1,10.1,10.5,11.7,12.8,14.9,17.1,19.7,21.7,23.5,24.3,24.2,26.8,27.7,29.6,31.2,,,,,
E06000015,Derby,3.1,5.1,5.1,5.1,5.4,5.4,6.6,7.4,7.8,9.7,12.1,16.0,17.5,17.6,21.1,23.4,22.6,26.8,28.0,30.0,31.1,34.2,32.3,32.6,38.7,36.8,37.2,,,,,
E06000016,Leicester,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.3,0.3,0.3,0.6,0.8,0.6,0.3,0.8,0.8,1.4,1.4,12.0,14.7,19.0,15.0,15.3,17.1,19.3,18.3,18.5,,,,,
E06000061,North Northamptonshire (from April 2021),[x],[x],[x],[x],[x],[x],[x],4.6,5.1,5.4,5.4,5.4,6.0,6.4,8.9,10.3,11.7,13.3,16.6,17.6,19.0,19.5,20.1,23.4,24.2,28.9,30.5,,,,,
E06000018,Nottingham,7.2,8.5,8.5,8.4,9.6,13.8,14.7,14.2,14.2,14.2,15.7,19.9,20.8,22.2,22.2,21.6,22.8,23.2,25.0,25.3,26.5,27.4,29.5,34.1,35.0,35.9,38.1,,,,,
E06000017,Rutland,0.0,0.0,2.5,2.5,2.5,2.5,7.5,7.4,7.4,7.4,7.4,7.4,7.4,7.2,4.8,4.8,9.7,9.7,9.7,17.0,17.0,17.0,17.0,17.0,12.2,16.9,19.3,,,,,
E06000062,West Northamptonshire (from April 2021),[x],[x],[x],[x],[x],[x],[x],5.9,7.1,7.6,9.6,9.1,12.3,13.4,15.5,13.1,19.7,24.6,23.9,27.7,26.8,24.5,25.2,27.0,29.1,33.9,35.0,,,,,
E10000007,Derbyshire,1.5,2.9,3.9,4.2,4.6,4.7,6.4,6.7,6.9,7.3,7.4,7.4,7.6,7.7,8.5,9.2,11.2,12.5,12.9,14.8,19.9,21.2,21.4,23.4,24.5,25.0,27.7,,,,,
E07000032,Amber Valley,0.8,1.6,3.2,3.1,3.1,3.1,3.1,3.9,3.9,3.9,3.9,3.9,3.9,4.0,6.3,6.3,6.3,5.5,6.3,14.2,18.9,22.8,19.7,21.3,21.3,19.2,19.9,,,,,
E07000033,Bolsover,5.0,6.3,6.3,6.2,6.2,6.2,17.4,19.7,19.7,19.7,19.7,19.7,22.1,22.4,22.4,24.9,24.9,24.9,22.4,22.1,22.1,29.4,29.4,40.5,40.5,66.8,66.8,,,,,
E07000034,Chesterfield,1.0,4.8,4.8,6.7,4.8,4.8,6.7,6.7,6.7,8.6,9.5,9.5,9.5,9.6,11.6,12.5,12.5,25.1,23.1,24.0,56.7,42.3,50.9,49.9,49.0,45.3,63.2,,,,,
E07000035,Derbyshire Dales,0.0,0.0,2.8,1.4,1.4,1.4,1.4,1.4,1.4,2.8,2.8,2.8,1.4,1.4,1.4,5.6,16.7,16.7,16.7,16.7,16.7,18.1,18.1,23.7,23.7,23.7,26.5,,,,,
E07000036,Erewash,2.6,3.5,5.2,5.2,6.1,6.1,7.8,7.8,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.8,8.8,8.8,11.5,15.9,15.0,23.0,22.1,22.1,29.2,21.0,14.9,,,,,
E07000037,High Peak,0.0,1.1,2.2,4.3,8.6,9.7,9.7,10.8,10.8,10.8,10.8,10.8,10.8,11.0,11.0,11.0,17.6,16.5,18.7,18.7,20.9,19.8,20.9,20.9,23.1,22.8,25.0,,,,,
